# Category, Subcategory, ROI, Name, lat, lon_e, min_lat, max_lat, min_lon_e, max_lon_e, Description, Science Rationale (JUICE Science Objective), UVS, JANUS HR, JANUS COLOR, JANUS STEREO, MAJIS, SWI, RIME, GALA, PEP/RPWI, J-MAG
# 1, 0, #0036fc, Polar Deposits, ---, ---, ---, ---, ---, ---, Surface features where influences of the transition to polar caps onto the compositional/geological properties are expected, Characterize the local environment and its interaction with the Jovian magnetosphere-comparison with Ganymede (CA/GC),,,,,,,,,,
6, 1, 8, Asgard Ii, 30.0, 243.0, 20.0, 40.0, 233.0, 253.0, Sets of grooves in the outer portion of Asgard (#4.6.1). Additional features: dark terrain; numerous more or less degraded impact craters, Characterize morphology of outer rings of Asgard; study resurfacing through impact events; compare impact-related and unrelated resurfacing with respect to surface and subsurface properties; quantify possible tectonic stresses; study surface degradation with respect to impact events and external environment, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0
6, 1, 9, Valhalla Iii, 4.2, 328.5, -1.0, 9.5, 323.0, 334.0, Concentric rings associated to Valhalla (#4.6.2); Additional features: dark terrain; numerous more or less degraded small impact craters, Characterize morphology of outer ring; study resurfacing through impact events; compare impact-related and unrelated resurfacing with respect to surface and subsurface properties; quantify possible tectonic stresses; study surface degradation with respect to impact events and external environment, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0
# 6, 2, #e4b015, Bands, ---, ---, ---, ---, ---, ---, ---, ---,,,,,,,,,,
# 6, 3, #e4b015, Network of Bands, ---, ---, ---, ---, ---, ---, ---, ---,,,,,,,,,,
# 7, 0, #a55702, Ancient Dark Terrain, ---, ---, ---, ---, ---, ---, Ancient terrain; erosional surface features in the ancient dark terrain. degraded impact craters, Characterise the outer shells / Determine the composition of the non-ice material composition of dark material (CA/CB),,,,,,,,,,
7, 0, 1, None, 20.0, 167.0, 13.0, 27.0, 158.0, 176.0, Poorly resolved portion of dark terrain dominated by erosion/sublimation and radiation in the equatorial region of the anti-Jovian hemisphere; numerous small impact craters of different morphologies and degradation states. Additional features: small fresh impact crater, Study nature and origin of the dark material; search for organic compounds; study processes responsible for surface degradation with respect to subsurface properties and external environment (including atmosphere) in the equatorial region of the anti-Jovian hemisphere; study mass wasting; study fresh impact material, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0
7, 0, 2, None, 17.5, 17.5, 13.0, 22.0, 13.0, 22.0, Poorly resolved portion of dark terrain dominated by erosion/sublimation and radiation in the equatorial region of the sub-Jovian hemisphere; numerous small impact craters of different morphologies and degradation states. Additionalfeatures: smallfresh impact crater, Study nature and origin of the dark material; search for organic compounds; study processes responsible for surface degradation with respect to subsurface properties and external environment (including atmosphere) in the equatorial region of the sub-Jovian hemisphere; study mass wasting; studyfresh impactmaterial, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0
7, 0, 3, None, 15.8, 220.0, 12.0, 19.5, 216.0, 224.0, Poorly resolved portion of dark terrain dominated by erosion/sublimation and radiation in the equatorial region of the leading hemisphere; numerous small impact craters of different morphologies and degradation states. Additionalfeatures: smallfresh impact craters, Study nature and origin of the dark material; search for organic compounds; study processes responsible for surface degradation with respect to subsurface properties and external environment (including atmosphere) in the equatorial region of the leading hemisphere; studyfresh impactmaterial, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0
7, 0, 4, None, 12.0, 243.5, 5.0, 19.0, 237.0, 250.0, Poorly resolved portion of dark terrain dominated by erosion/sublimation and radiation in the equatorial region of the leading hemisphere; numerous small impact craters of different morphologies and degradation states. Additionalfeatures: smallfresh impact craters, Study nature and origin of the dark material; search for organic compounds; study processes responsible for surface degradation with respect to subsurface properties and external environment (including atmosphere) in the equatorial region of the leading hemisphere; studyfresh impactmaterial, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0
7, 0, 5, None, -7.0, 355.0, -12.0, -2.0, 350.0, 360.0, Poorly resolved portion of dark terrain dominated by erosion/sublimation and radiation in the equatorial region of the sub-Jovian hemisphere; numerous small impact craters of different morphologies and degradation states, Study nature and origin of the dark material; search for organic compounds; study processes responsible for surface degradation with respect to subsurface properties and external environment (including atmosphere) in the equatorial region of the sub-Jovian hemisphere, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0
7, 0, 6, None, 17.0, 9.5, 12.0, 22.0, 4.0, 15.0, Poorly resolved portion of dark terrain dominated by erosion/sublimation and radiation in the equatorial region of the sub-Jovian hemisphere; numerous small impact craters of different morphologies and degradation states, Study nature and origin of the dark material; search for organic compounds; study processes responsible for surface degradation with respect to subsurface properties and external environment (including atmosphere) in the equatorial region of the sub-Jovian hemisphere, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0
7, 0, 7, None, 24.5, 62.0, 16.0, 33.0, 53.0, 71.0, Poorly resolved portion of dark terrain dominated by erosion/sublimation and radiation in the equatorial region of the trailing hemisphere; numerous small impact craters of different morphologies and degradation states; contains relatively smooth areas embaying and/or obliterating craters. Additionalfeatures: smallfresh impact craters, Study nature and origin of the dark material; search for organic compounds; study processes responsible for surface degradation with respect to subsurface properties and external environment (including atmosphere) in the equatorial region of the trailing hemisphere; studyfresh impactmaterial, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0
7, 0, 8, None, -4.8, 261.2, -18.5, 9.0, 247.0, 275.5, Portion of dark terrain dominated by erosion/sublimation and radiation in the equatorial region of the leading hemisphere; numerous small impact craters of different morphologies and degradation states. Additionalfeatures: smallfresh impact craters; possible palimpsests, Study nature and origin of the dark material; search for organic compounds; study processes responsible for surface degradation with respect to subsurface properties and external environment (including atmosphere) in the equatorial region of the leading hemisphere; studyfresh impactmaterial, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0
7, 0, 9, None, 33.5, 100.5, 25.0, 42.0, 90.0, 111.0, Portion of dark terrain dominated by erosion/sublimation and radiation in the equatorial region of the trailing hemisphere; numerous small impact craters of different morphologies and degradation states; contains relatively smooth areas embaying and/or obliterating craters, Study nature and origin of the dark material; search for organic compounds; study processes responsible for surface degradation with respect to subsurface properties and external environment (including atmosphere) in the equatorial region of the trailing hemisphere, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0
